City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
0,Bluff,NZ,2020-06-16 13:26:24,-46.6,168.33,54.39,75,63,15.05,broken clouds,0.0,0
1,Dovers,VC,2020-06-16 13:34:59,12.88,-61.18,84.2,70,75,11.41,broken clouds,0.0,0
2,Copiapo,CL,2020-06-16 13:34:59,-27.37,-70.33,55.4,76,90,6.93,overcast clouds,0.0,0
3,Malanje,AO,2020-06-16 13:26:41,-9.54,16.34,78.8,54,40,12.75,scattered clouds,0.0,0
4,Airai,TL,2020-06-16 13:26:29,-8.93,125.41,57.97,100,27,4.47,scattered clouds,0.0,0
5,Barrow,US,2020-06-16 13:35:00,71.29,-156.79,35.6,80,1,13.87,clear sky,0.0,0
6,Hailin,CN,2020-06-16 13:35:00,44.58,129.42,61.43,70,1,5.06,clear sky,0.0,0
7,Xichang,CN,2020-06-16 13:35:00,27.9,102.26,72.68,73,100,4.14,light rain,0.32,0
8,Cape Town,ZA,2020-06-16 13:34:54,-33.93,18.42,71.6,33,0,5.82,clear sky,0.0,0
9,Carnarvon,AU,2020-06-16 13:35:01,-24.87,113.63,64.4,34,0,10.29,clear sky,0.0,0
10,Tura,IN,2020-06-16 13:35:01,25.52,90.22,76.84,95,100,5.91,light rain,0.46,0
11,Rikitea,PF,2020-06-16 13:35:01,-23.12,-134.97,74.98,81,4,10.83,clear sky,0.0,0
12,Kalaiya,NP,2020-06-16 13:35:01,27.03,85.0,83.86,66,95,6.62,light rain,0.17,0
13,Cururupu,BR,2020-06-16 13:35:01,-1.83,-44.87,82.99,77,11,6.49,light rain,0.59,0
14,Atuona,PF,2020-06-16 13:35:01,-9.8,-139.03,80.17,75,1,12.59,light rain,0.15,0
15,Ancud,CL,2020-06-16 13:35:02,-41.87,-73.82,50.0,100,90,8.05,overcast clouds,0.0,0
16,Grindavik,IS,2020-06-16 13:35:02,63.84,-22.43,48.2,76,75,17.22,broken clouds,0.0,0
17,Hobart,AU,2020-06-16 13:30:23,-42.88,147.33,42.8,70,75,19.46,light intensity shower rain,1.52,0
18,Armidale,AU,2020-06-16 13:35:02,-30.52,151.65,37.53,91,0,0.98,clear sky,0.0,0
19,Port Alfred,ZA,2020-06-16 13:35:02,-33.59,26.89,64.0,80,40,4.0,scattered clouds,0.0,0
20,Punta Arenas,CL,2020-06-16 13:35:02,-53.15,-70.92,33.8,86,20,9.17,few clouds,0.0,0
21,Makakilo City,US,2020-06-16 13:27:05,21.35,-158.09,75.2,83,40,4.7,scattered clouds,0.0,0
22,Faanui,PF,2020-06-16 13:26:12,-16.48,-151.75,79.54,82,34,11.77,light rain,0.67,0
23,Sao Filipe,CV,2020-06-16 13:26:17,14.9,-24.5,78.15,78,1,6.67,clear sky,0.0,0
24,Paamiut,GL,2020-06-16 13:27:27,61.99,-49.67,36.99,80,87,6.91,overcast clouds,0.0,0
25,Busselton,AU,2020-06-16 13:26:06,-33.65,115.33,59.0,64,92,15.32,overcast clouds,0.0,0
26,Kudahuvadhoo,MV,2020-06-16 13:27:05,2.67,72.89,84.79,76,1,9.22,clear sky,0.0,0
27,Nuuk,GL,2020-06-16 13:31:09,64.18,-51.72,33.8,100,90,12.75,light rain,0.0,0
28,Cidreira,BR,2020-06-16 13:23:23,-30.18,-50.21,63.09,82,3,11.63,clear sky,0.0,0
29,Nabire,ID,2020-06-16 13:35:03,-3.37,135.48,75.38,86,23,4.5,few clouds,0.0,0
30,Mataura,NZ,2020-06-16 13:26:12,-46.19,168.86,46.06,85,24,4.41,few clouds,0.0,0
31,Cabo San Lucas,MX,2020-06-16 13:25:07,22.89,-109.91,84.2,8,5,12.75,clear sky,0.0,0
32,Albany,US,2020-06-16 13:35:04,42.6,-73.97,66.0,51,0,4.27,clear sky,0.0,0
33,Saskylakh,RU,2020-06-16 13:26:09,71.92,114.08,51.21,51,0,7.96,clear sky,0.0,0
34,Ushuaia,AR,2020-06-16 13:34:25,-54.8,-68.3,37.4,85,40,8.05,scattered clouds,0.0,0
35,New Norfolk,AU,2020-06-16 13:26:16,-42.78,147.06,39.99,84,30,1.99,moderate rain,1.52,0
36,Dickinson,US,2020-06-16 13:32:25,29.46,-95.05,82.99,78,20,4.27,light rain,0.25,0
37,Bredasdorp,ZA,2020-06-16 13:26:21,-34.53,20.04,68.0,52,0,5.5,clear sky,0.0,0
38,Souillac,MU,2020-06-16 13:26:59,-20.52,57.52,73.4,69,40,9.17,scattered clouds,0.0,0
39,Kavaratti,IN,2020-06-16 13:26:49,10.57,72.64,84.97,79,100,19.73,overcast clouds,0.0,0
40,Mar Del Plata,AR,2020-06-16 13:26:06,-38.0,-57.56,57.99,93,90,6.93,overcast clouds,0.0,0
41,Batagay-Alyta,RU,2020-06-16 13:35:05,67.8,130.41,59.4,59,97,8.12,overcast clouds,0.0,0
42,Los Llanos De Aridane,ES,2020-06-16 13:26:26,28.66,-17.92,78.8,74,34,2.24,scattered clouds,0.0,0
43,Talnakh,RU,2020-06-16 13:26:11,69.49,88.4,44.6,81,75,13.42,broken clouds,0.0,0
44,Norman Wells,CA,2020-06-16 13:26:25,65.28,-126.83,53.6,76,75,13.87,broken clouds,0.0,0
45,Tasiilaq,GL,2020-06-16 13:26:10,65.61,-37.64,39.2,80,75,17.22,light rain,0.0,0
46,Avarua,CK,2020-06-16 13:26:29,-21.21,-159.78,71.6,64,8,5.82,clear sky,0.0,0
47,Nikolskoye,RU,2020-06-16 13:26:03,59.7,30.79,79.0,50,75,8.95,thunderstorm,0.0,0
48,Iracoubo,GF,2020-06-16 13:26:52,5.48,-53.2,80.49,86,3,4.34,light rain,0.97,0
49,Kapaa,US,2020-06-16 13:26:11,22.08,-159.32,77.0,78,90,14.99,light rain,0.0,0
50,Touros,BR,2020-06-16 13:35:06,-5.2,-35.46,75.2,94,75,8.05,broken clouds,0.0,0
51,Mehamn,NO,2020-06-16 13:26:41,71.04,27.85,46.4,68,75,20.8,broken clouds,0.0,0
52,Te Anau,NZ,2020-06-16 13:35:06,-45.42,167.72,51.57,83,59,6.11,broken clouds,0.0,0
53,Vardo,NO,2020-06-16 13:35:07,70.37,31.11,50.0,57,40,16.11,scattered clouds,0.0,0
54,Pisco,PE,2020-06-16 13:26:25,-13.7,-76.22,64.4,82,90,2.24,mist,0.0,0
55,Yar-Sale,RU,2020-06-16 13:35:07,66.83,70.83,50.09,48,100,11.59,overcast clouds,0.0,0
56,Ostrovnoy,RU,2020-06-16 13:27:06,68.05,39.51,43.68,64,100,20.8,overcast clouds,0.0,0
57,Arraial Do Cabo,BR,2020-06-16 13:26:12,-22.97,-42.03,73.4,64,75,10.29,broken clouds,0.0,0
58,Vaini,TO,2020-06-16 13:26:05,-21.2,-175.2,71.6,68,40,9.17,scattered clouds,0.0,0
59,Ampanihy,MG,2020-06-16 13:35:07,-24.7,44.75,69.35,66,7,16.96,clear sky,0.0,0
60,Hermanus,ZA,2020-06-16 13:26:11,-34.42,19.23,65.73,55,0,3.91,clear sky,0.0,0
61,Alice Springs,AU,2020-06-16 13:22:51,-23.7,133.88,52.0,41,0,5.82,clear sky,0.0,0
62,Lebu,CL,2020-06-16 13:27:07,-37.62,-73.65,52.68,87,100,14.03,light rain,0.16,0
63,Basse-Pointe,MQ,2020-06-16 13:35:08,14.87,-61.12,86.0,66,75,19.46,broken clouds,0.0,0
64,Port Elizabeth,ZA,2020-06-16 13:26:32,-33.92,25.57,64.4,68,20,11.41,few clouds,0.0,0
65,Arman,RU,2020-06-16 13:35:08,59.7,150.17,50.2,62,49,1.03,scattered clouds,0.0,0
66,Pasighat,IN,2020-06-16 13:35:08,28.07,95.33,79.03,84,99,1.16,light rain,0.16,0
67,Lazaro Cardenas,MX,2020-06-16 13:35:08,17.96,-102.2,81.41,72,31,3.13,scattered clouds,0.0,0
68,Yellowknife,CA,2020-06-16 13:23:55,62.46,-114.35,48.2,76,75,14.99,broken clouds,0.0,0
69,Aswan,EG,2020-06-16 13:35:09,24.09,32.91,105.21,7,0,6.17,clear sky,0.0,0
70,Kilindoni,TZ,2020-06-16 13:35:09,-7.91,39.67,78.48,65,62,14.2,broken clouds,0.0,0
71,Alofi,NU,2020-06-16 13:26:50,-19.06,-169.92,71.6,64,0,13.87,clear sky,0.0,0
72,Esperance,AU,2020-06-16 13:26:43,-33.87,121.9,55.4,66,63,10.29,broken clouds,0.0,0
73,Namibe,AO,2020-06-16 13:27:01,-15.2,12.15,87.8,38,0,13.87,clear sky,0.0,0
74,Onega,RU,2020-06-16 13:35:09,63.91,38.14,57.09,55,11,11.52,few clouds,0.0,0
75,Dikson,RU,2020-06-16 13:26:07,73.51,80.55,32.9,94,75,14.85,broken clouds,0.0,0
76,Jamestown,US,2020-06-16 13:22:36,42.1,-79.24,61.0,59,1,4.7,clear sky,0.0,0
77,Kruisfontein,ZA,2020-06-16 13:26:45,-34.0,24.73,63.27,58,0,7.47,clear sky,0.0,0
78,Nouadhibou,MR,2020-06-16 13:35:10,20.93,-17.03,100.4,24,0,13.87,clear sky,0.0,0
79,Hilo,US,2020-06-16 13:26:10,19.73,-155.09,73.4,83,90,5.82,overcast clouds,0.0,0
80,Qaanaaq,GL,2020-06-16 13:26:09,77.48,-69.36,38.86,74,0,3.65,clear sky,0.0,0
81,Murgab,TM,2020-06-16 13:35:10,37.5,61.97,105.8,11,14,11.41,few clouds,0.0,0
82,Saint George,US,2020-06-16 13:26:25,37.1,-113.58,71.6,19,1,12.75,clear sky,0.0,0
83,Auki,SB,2020-06-16 13:27:26,-8.77,160.7,78.75,86,100,3.06,overcast clouds,0.0,0
84,Mahebourg,MU,2020-06-16 13:26:03,-20.41,57.7,73.4,69,40,9.17,scattered clouds,0.0,0
85,Rio Bueno,CL,2020-06-16 13:35:11,-40.32,-72.97,46.4,93,100,3.36,overcast clouds,0.0,0
86,Parana,AR,2020-06-16 13:26:52,-31.73,-60.52,69.01,84,34,1.99,scattered clouds,0.0,0
87,Colac,AU,2020-06-16 13:35:11,-38.33,143.58,45.0,98,38,3.53,scattered clouds,0.0,0
88,Semey,KZ,2020-06-16 13:35:11,50.41,80.23,75.2,29,40,11.18,scattered clouds,0.0,0
89,Chokurdakh,RU,2020-06-16 13:26:30,70.63,147.92,72.97,41,73,4.68,broken clouds,0.0,0
90,Beachwood,US,2020-06-16 13:35:12,41.46,-81.51,72.0,56,5,2.26,clear sky,0.0,0
91,Saint-Philippe,RE,2020-06-16 13:26:21,-21.36,55.77,71.6,60,69,18.34,broken clouds,0.0,0
92,Katsuura,JP,2020-06-16 13:26:39,35.13,140.3,75.0,80,0,16.08,clear sky,0.0,0
93,Tiksi,RU,2020-06-16 13:26:23,71.69,128.87,55.53,49,1,11.05,clear sky,0.0,0
94,Haines Junction,CA,2020-06-16 13:26:31,60.75,-137.51,48.61,74,100,4.88,overcast clouds,0.0,0
95,Kununurra,AU,2020-06-16 13:26:15,-15.77,128.73,77.0,25,0,6.93,clear sky,0.0,0
96,Pevek,RU,2020-06-16 13:26:46,69.7,170.31,43.38,68,0,3.06,clear sky,0.0,0
97,Karczew,PL,2020-06-16 13:35:13,52.08,21.25,78.01,47,64,4.7,broken clouds,0.0,0
98,Iqaluit,CA,2020-06-16 13:22:07,63.75,-68.51,35.6,74,90,9.17,overcast clouds,0.0,0
99,Jizan,SA,2020-06-16 13:35:13,17.33,42.67,100.4,39,8,12.75,clear sky,0.0,0
100,Burgeo,CA,2020-06-16 13:35:13,47.62,-57.62,56.59,59,29,12.24,scattered clouds,0.0,0
101,Santa Rosa,PH,2020-06-16 13:35:13,14.31,121.11,87.01,70,40,5.82,scattered clouds,0.0,0
102,The Valley,AI,2020-06-16 13:27:07,18.22,-63.06,86.0,69,75,16.11,broken clouds,0.0,0
103,Sioux Lookout,CA,2020-06-16 13:23:09,50.1,-91.92,68.0,72,75,6.93,broken clouds,0.0,0
104,Camocim,BR,2020-06-16 13:35:13,-2.9,-40.84,84.58,67,13,11.1,few clouds,0.0,0
105,Daloa,CI,2020-06-16 13:35:13,6.88,-6.45,88.36,56,74,3.67,broken clouds,0.0,0
106,Naryan-Mar,RU,2020-06-16 13:35:14,67.67,53.09,45.05,57,100,19.95,overcast clouds,0.0,0
107,Tete,MZ,2020-06-16 13:35:14,-16.16,33.59,77.0,47,75,6.93,broken clouds,0.0,0
108,Decatur,US,2020-06-16 13:31:41,39.84,-88.95,73.0,64,1,8.05,clear sky,0.0,0
109,Nanortalik,GL,2020-06-16 13:35:14,60.14,-45.24,39.78,93,100,4.99,overcast clouds,0.0,0
110,Inirida,CO,2020-06-16 13:35:14,3.87,-67.92,80.1,90,37,1.52,moderate rain,1.83,0
111,Healesville,AU,2020-06-16 13:35:14,-37.65,145.52,52.0,89,76,1.77,light rain,0.2,0
112,Fortuna,US,2020-06-16 13:26:40,40.6,-124.16,51.01,100,90,3.29,overcast clouds,0.0,0
113,Hasaki,JP,2020-06-16 13:27:03,35.73,140.83,72.0,83,75,19.46,broken clouds,0.0,0
114,Georgetown,MY,2020-06-16 13:30:50,5.41,100.34,84.2,79,20,2.24,light rain,0.0,0
115,East London,ZA,2020-06-16 13:21:49,-33.02,27.91,64.4,59,7,8.05,clear sky,0.0,0
116,Namie,JP,2020-06-16 13:35:15,37.48,141.0,66.0,83,63,3.24,broken clouds,0.0,0
117,Rawson,AR,2020-06-16 13:27:03,-43.3,-65.1,51.35,49,0,16.24,clear sky,0.0,0
118,Okha,RU,2020-06-16 13:35:15,53.57,142.95,37.89,92,100,3.51,overcast clouds,0.0,0
119,Laguna,US,2020-06-16 13:26:32,38.42,-121.42,57.0,81,1,5.82,clear sky,0.0,0
120,Cabedelo,BR,2020-06-16 13:35:15,-6.98,-34.83,73.4,100,75,4.7,light rain,0.0,0
121,Ilulissat,GL,2020-06-16 13:26:10,69.22,-51.1,42.8,38,20,4.7,few clouds,0.0,0
122,Baykit,RU,2020-06-16 13:35:16,61.67,96.37,50.02,67,68,2.28,broken clouds,0.0,0
123,Thompson,CA,2020-06-16 13:26:17,55.74,-97.86,60.8,67,20,11.41,few clouds,0.0,0
124,Zhangye,CN,2020-06-16 13:35:16,38.93,100.45,72.79,30,100,6.22,overcast clouds,0.0,0
125,Veraval,IN,2020-06-16 13:35:16,20.9,70.37,86.77,82,85,13.62,light rain,0.39,0
126,Gainesville,US,2020-06-16 13:31:07,29.65,-82.32,71.01,82,20,6.93,few clouds,0.0,0
127,Hecun,CN,2020-06-16 13:35:16,36.53,114.11,64.22,85,100,4.68,light rain,0.56,0
128,Victoria,HK,2020-06-16 13:23:57,22.29,114.16,82.0,74,0,5.99,clear sky,0.0,0
129,Flinders,AU,2020-06-16 13:26:20,-34.58,150.86,62.01,56,20,8.01,few clouds,0.0,0
130,Beringovskiy,RU,2020-06-16 13:27:13,63.05,179.32,43.7,81,1,1.43,clear sky,0.0,0
131,Namatanai,PG,2020-06-16 13:26:29,-3.67,152.43,80.2,80,100,4.72,light rain,0.64,0
132,Mandera,KE,2020-06-16 13:35:17,3.94,41.87,89.29,39,97,18.19,overcast clouds,0.0,0
133,Pacific Grove,US,2020-06-16 13:25:38,36.62,-121.92,57.99,82,75,6.93,broken clouds,0.0,0
134,Puerto Ayacucho,VE,2020-06-16 13:35:17,5.66,-67.62,78.8,88,75,4.61,broken clouds,0.0,0
135,Cherskiy,RU,2020-06-16 13:26:26,68.75,161.3,66.81,42,15,7.63,few clouds,0.0,0
136,Tumpat,MY,2020-06-16 13:35:18,6.2,102.17,78.8,94,40,4.52,light rain,0.0,0
137,Jasper,US,2020-06-16 13:34:28,37.2,-94.35,75.0,78,1,10.29,clear sky,0.0,0
138,Henderson,US,2020-06-16 13:34:01,36.04,-114.98,78.8,21,1,12.75,clear sky,0.0,0
139,Xuddur,SO,2020-06-16 13:26:19,4.12,43.89,83.7,48,100,20.18,overcast clouds,0.0,0
140,Barcelos,PT,2020-06-16 13:34:30,41.54,-8.62,71.01,68,40,11.41,scattered clouds,0.0,0
141,Lanigan,CA,2020-06-16 13:35:18,51.85,-105.03,56.66,62,100,4.25,overcast clouds,0.0,0
142,Puerto Baquerizo Moreno,EC,2020-06-16 13:26:35,-0.9,-89.6,70.02,88,89,13.78,overcast clouds,0.0,0
143,Deputatskiy,RU,2020-06-16 13:26:02,69.3,139.9,64.38,43,99,9.91,overcast clouds,0.0,0
144,Xinqing,CN,2020-06-16 13:35:19,48.23,129.5,53.92,96,100,4.47,overcast clouds,0.0,0
145,Hornepayne,CA,2020-06-16 13:35:19,49.21,-84.77,65.91,50,100,13.2,overcast clouds,0.0,0
146,Naisud,PH,2020-06-16 13:35:19,11.81,122.19,79.83,78,52,3.24,broken clouds,0.0,0
147,Koryukivka,UA,2020-06-16 13:35:19,51.77,32.25,77.58,68,0,12.84,clear sky,0.0,0
148,Guarda,PT,2020-06-16 13:35:19,40.54,-7.27,67.23,53,20,11.72,few clouds,0.0,0
149,Ca Mau,VN,2020-06-16 13:31:02,9.18,105.15,80.19,85,100,1.57,overcast clouds,0.0,0
150,College,US,2020-06-16 13:26:25,64.86,-147.8,55.4,87,75,1.16,broken clouds,0.0,0
151,Diplo,PK,2020-06-16 13:35:20,24.47,69.58,90.72,63,98,24.29,overcast clouds,0.0,0
152,Keti Bandar,PK,2020-06-16 13:26:49,24.14,67.45,87.82,78,69,16.73,broken clouds,0.0,0
153,Rovaniemi,FI,2020-06-16 13:35:20,66.5,25.72,59.0,38,24,3.36,few clouds,0.0,0
154,Saint-Raymond,CA,2020-06-16 13:35:20,45.47,-73.61,72.0,55,20,5.82,few clouds,0.0,0
155,Napoleon,US,2020-06-16 13:35:20,41.39,-84.13,70.0,100,1,5.82,clear sky,0.0,0
156,Kodiak,US,2020-06-16 13:26:15,57.79,-152.41,50.0,87,90,13.87,light rain,0.0,0
157,Zarya,RU,2020-06-16 13:35:21,55.76,38.1,82.4,42,24,6.71,few clouds,0.0,0
158,Mirassol,BR,2020-06-16 13:35:21,-20.82,-49.52,71.6,49,0,10.29,clear sky,0.0,0
159,Funadhoo,MV,2020-06-16 13:35:21,6.15,73.27,84.85,79,100,11.9,overcast clouds,0.0,0
160,Cockburn Town,TC,2020-06-16 13:35:21,21.46,-71.14,82.4,74,40,9.17,scattered clouds,0.0,0
161,Nakskov,DK,2020-06-16 13:35:21,54.84,11.13,73.99,47,8,3.0,clear sky,0.0,0
162,Puerto Ayora,EC,2020-06-16 13:26:09,-0.74,-90.35,72.0,92,98,10.6,overcast clouds,0.0,0
163,Venice,US,2020-06-16 13:35:21,27.1,-82.45,80.01,74,0,11.41,clear sky,0.0,0
164,Okhotsk,RU,2020-06-16 13:26:26,59.38,143.3,46.0,80,0,3.76,clear sky,0.0,0
165,Mabaruma,GY,2020-06-16 13:35:22,8.2,-59.78,79.54,91,99,5.39,moderate rain,2.52,0
166,Kerema,PG,2020-06-16 13:35:22,-7.96,145.78,77.92,90,100,8.61,light rain,0.46,0
167,Marawi,PH,2020-06-16 13:35:22,8.0,124.29,81.0,86,10,5.01,clear sky,0.0,0
168,Hovd,MN,2020-06-16 13:26:38,48.01,91.64,76.86,20,3,4.38,clear sky,0.0,0
169,Butaritari,KI,2020-06-16 13:26:17,3.07,172.79,83.21,79,24,12.84,light rain,0.25,0
170,Gayeri,BF,2020-06-16 13:35:23,12.65,0.49,105.46,21,16,4.29,few clouds,0.0,0
171,Coahuayana,MX,2020-06-16 13:35:23,18.73,-103.68,71.6,83,75,1.45,mist,0.0,0
172,Jackson,US,2020-06-16 13:31:00,42.42,-122.83,50.0,81,90,0.96,overcast clouds,0.0,0
173,Paita,PE,2020-06-16 13:35:23,-5.09,-81.11,68.0,82,75,20.8,light intensity drizzle,0.0,0
174,La Libertad,EC,2020-06-16 13:35:23,-2.23,-80.9,73.4,78,75,11.41,broken clouds,0.0,0
175,Dunedin,NZ,2020-06-16 13:26:45,-45.87,170.5,59.0,54,100,5.91,overcast clouds,0.0,0
176,Cocorit,MX,2020-06-16 13:35:24,27.58,-109.97,75.2,78,5,8.05,clear sky,0.0,0
177,Isabela,PH,2020-06-16 13:35:24,6.71,121.97,80.6,94,75,2.24,broken clouds,0.0,0
178,Panguna,PG,2020-06-16 13:35:24,-6.32,155.48,69.21,100,100,2.33,light rain,0.41,0
179,Chuy,UY,2020-06-16 13:26:14,-33.7,-53.46,60.85,89,25,9.46,scattered clouds,0.0,0
180,Lavrentiya,RU,2020-06-16 13:26:47,65.58,-171.0,47.05,67,0,1.63,clear sky,0.0,0
181,Vao,NC,2020-06-16 13:26:32,-22.67,167.48,73.27,81,0,17.83,light rain,0.26,0
182,Biak,ID,2020-06-16 13:35:25,-0.91,122.88,77.68,80,33,6.51,scattered clouds,0.0,0
183,Ouallam,NE,2020-06-16 13:35:25,14.32,2.09,109.31,16,65,6.53,broken clouds,0.0,0
184,Palmer,US,2020-06-16 13:35:25,42.16,-72.33,70.0,63,17,5.97,few clouds,0.0,0
185,Severo-Kurilsk,RU,2020-06-16 13:26:08,50.68,156.12,41.45,89,100,11.25,overcast clouds,0.0,0
186,Halifax,CA,2020-06-16 13:32:05,44.65,-63.57,70.0,65,0,1.99,clear sky,0.0,0
187,Hithadhoo,MV,2020-06-16 13:26:07,-0.6,73.08,84.99,76,0,10.56,clear sky,0.0,0
188,Mugumu,TZ,2020-06-16 13:35:25,-1.85,34.7,75.58,53,71,3.29,broken clouds,0.0,0
189,Solnechnyy,RU,2020-06-16 13:35:26,50.72,136.63,45.34,84,87,6.96,overcast clouds,0.0,0
190,Sorland,NO,2020-06-16 13:35:26,67.67,12.69,51.8,71,0,12.75,clear sky,0.0,0
